1.07.00.11   Экономикалык ишмердиктин ,1.07.00.11   Заработная плата по видам ,1.07.00.11  Wages by type of ,,,,,,,,,,,,,,,,
түрлөрү  (ЭИМК-2) боюнча эмгек акы,экономической деятельности  (ГКЭД-2),economic activity (NACE-2),,,,,,,,,,,,,,,,
(сом),(сомов)           ,(soms),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Көрсөткүчтөрдү иштетүүнүн  мезгилдүүлүгү: ,Периодичность разработки показателей:,Freguency of development indicators: ,,,,,,,,,,,,,,,,
айлык - отчеттук мезгилден кийинки , месячная - через 2 месяца после отчетного ,monthly - 2 months after the reporting period;,,,,,,,,,,,,,,,,
 2 айдан кийин;,периода;  ,annual -  6 months after the reporting period. ,,,,,,,,,,,,,,,,
жылдык - отчеттук мезгилден кийинки ,годовая - через 6 месяцев после отчетного периода.   ,,,,,,,,,,,,,,,,,
6 айдан кийин ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Көрсөткүчтөрдүн аталышы,Наименование показателей,Items,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
,,,,,,,,,,,,,,,,,,
Бардыгы,Всего,Total,841,"1,050","1,227","1,455","1,684","1,916","2,240","2,613","3,270","3,970","5,378","6,161","7,189","9,304","10,726","11,341"
,,,,,,,,,,,,,,,,,,
"Айыл чарба, аңчылык жана токой чарбасы","Сельское хозяйство, охота и лесное хозяйство","Agriculture, hunting and forestry",402,450,591,704,776,878,904,"1,041","1,259","1,788","2,416","3,347","4,360","4,784","5,309","5,814"
"Балык уулоочулук, балык өстүрүүчүлүк",Рыболовство и рыбоводство,Fishing and fishery,510,599,645,605,834,871,"1,085","1,172","1,852","1,471","2,915","3,957","3,655","3,595","4,919","4,607"
Тоо кен казуу өнөр жайы,Горнодобывающая промышленность,Mining industry,"1,415","1,699","2,240","1,893","2,051","2,164","2,415","2,928","3,964","4,609","5,749","5,856","7,857","10,208","15,309","15,825"
Иштетүү өнөр жайы,Обрабатывающая промышленность,Manufacturing industry,"1,406","1,962","2,020","2,391","2,834","3,183","3,759","4,230","6,211","6,254","7,812","9,546","10,986","14,465","15,291","16,748"
"Электр энергиясын, газ менен сууну өндүрүү жана бөлүштүрүү","Производство и распределение электроэнергии, газа и воды ",Production and distribution of electricity gas nad water,"1,440","1,868","2,069","2,645","3,392","3,752","4,116","4,410","5,340","6,315","7,935","8,734","10,675","12,747","15,317","16,921"
Курулуш,Строительство,Construction,"1,130","1,538","1,816","1,819","1,984","2,111","2,213","2,388","2,887","3,613","5,245","6,620","8,012","7,439","8,132","9,177"
"Соода; автомобилдерди, турмуш-тиричилик буюмдарын жана жеке керектелүүчү нерселерди оңдоо","Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","Trade and repair of motor vehicles, household appliances and articles of personal use",785,830,"1,089","1,200","1,399","1,616","1,901","2,082","2,288","3,142","4,487","6,477","7,200","7,935","9,935","10,842"
Мейманканалар жана ресторандар,Гостиницы и рестораны,Hotels and restaurants,714,"1,278","1,712","1,719","2,581","2,781","2,915","3,416","3,244","4,191","4,769","5,793","6,631","7,716","8,283","8,540"
Транспорт жана байланыш,Транспорт и связь,Transport and communication,"1,074","1,302","1,723","2,055","2,417","2,834","3,480","4,108","5,141","6,497","9,897","9,717","11,981","14,226","15,844","17,601"
Финансы ишмердиги,Финансовая деятельность,Financial activity,"2,532","3,056","4,240","4,717","5,146","5,489","7,507","9,555","10,669","10,791","14,864","16,750","18,768","20,098","21,558","23,325"
"Кыймылсыз мүлк операциялары, ижара жана керектөөчүлөргө тейлөө көрсөтүү","Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Real estate operations and rent services,863,"1,151","1,429","1,716","1,880","2,199","2,521","2,981","3,492","4,576","6,326","7,853","8,424","10,187","11,778","12,366"
Мамлекеттик башкаруу,Государственное управление,Government management,"1,110","1,264","1,672","2,273","2,404","2,792","3,132","3,525","3,753","4,469","6,958","8,106","9,422","10,032","11,187","12,586"
Билим берүү,Образование,Education,536,608,715,866,976,"1,128","1,346","1,622","1,955","2,676","3,424","3,638","3,991","6,682","7,999","7,799"
Саламаттыкты сактоо жана социалдык тейлөөлөрдү көрсөтүү,Здравоохранение и предоставление социальных услуг,Health care and social services,455,516,579,693,800,943,"1,126","1,386","1,751","2,541","3,486","3,909","4,218","7,315","9,402","9,255"
"Коммуналдык, социалдык жана жеке тейлөөлөрдү көрсөтүү","Предоставление коммунальных, социальных и персональных услуг","Housing,social and personal services",625,760,995,"1,081","1,239","1,393","1,684","1,934","2,243","2,536","3,414","3,566","5,825","7,248","8,587","8,482"
